"Wunder Under High-Rise Tight Foil 28""",https://shop.lululemon.com/p/women-pants/Wunder-Under-Hi-Rise-Tight-Foil-28/_/prod9200537?color=36148,3.7 out of 5,2,Bringing sexy back,"These pants are gorgeous, so pretty in fact I think I’ll save them for going out and not actually working out. I almost feel like they even make me look a little slimmer. I cannot attest to the longevity of the foil look of the pants but I hope these hold up to washing because these are my new favorites",5 out of 5,AKP1,VICTORVILLE CA,SWEATY GENERALIST,25-34,ATHLETIC,,shiny,,2019-01-10,3,0,{}
"Wunder Under High-Rise Tight Foil 28""",https://shop.lululemon.com/p/women-pants/Wunder-Under-Hi-Rise-Tight-Foil-28/_/prod9200537?color=36148,3.7 out of 5,2,Love the shine,My favorite leggings in flashy color. I got so many stares :),5 out of 5,ONLYTINTIN,"PLEASANTON, CA",RUNNER,45-54,ATHLETIC,,color,,2019-01-06,1,0,{}
"Wunder Under High-Rise Tight Foil 28""",https://shop.lululemon.com/p/women-pants/Wunder-Under-Hi-Rise-Tight-Foil-28/_/prod9200537?color=36148,3.7 out of 5,2,Best Faux Leather Leggings,"I’ve tried many other top brands (you know them) in this style of faux leather, shimmer, etc leggings and these are by far the best!! They are hugging, tight in all the right places without being too tight. They hide all the stuff you want hidden and look super sexy. I wear working out but more for going out. Love these!! I am 5’10” and these are long enough for me.",5 out of 5,INDYRUN,"CARMEL, IN",RUNNER,35-44,ATHLETIC,,fit,,2019-01-05,4,0,{}
"Wunder Under High-Rise Tight Foil 28""",https://shop.lululemon.com/p/women-pants/Wunder-Under-Hi-Rise-Tight-Foil-28/_/prod9200537?color=36148,3.7 out of 5,2,Better than I thought,"I ordered these a size up, and they fit pretty well. I washed them too, the foil is still in tact.",4 out of 5,KPAO17,SOUTH CAROLINA,RUNNER,25-34,ATHLETIC,,,i wish these had side pockets.,2019-01-02,4,0,{}
"Wunder Under High-Rise Tight Foil 28""",https://shop.lululemon.com/p/women-pants/Wunder-Under-Hi-Rise-Tight-Foil-28/_/prod9200537?color=36148,3.7 out of 5,2,Fun leggings!,These pants are better than I expected! They fit really well and the foil look is eye-catching.,5 out of 5,ABBYRUNS,UTAH,RUNNER,35-44,PETITE,,the foil fabric looks amazing!,a little long,2018-12-31,1,0,{}
"Wunder Under High-Rise Tight Foil 28""",https://shop.lululemon.com/p/women-pants/Wunder-Under-Hi-Rise-Tight-Foil-28/_/prod9200537?color=36148,3.7 out of 5,2,Hesitantly returned,I like these tights but I read they didn't hold up with washing. So I returned because I want confident they would hold up,3 out of 5,LJG06,"MICHIGAN, USA",RUNNER,25-34,SLIM,,,,2018-12-31,1,0,{}
"Wunder Under High-Rise Tight Foil 28""",https://shop.lululemon.com/p/women-pants/Wunder-Under-Hi-Rise-Tight-Foil-28/_/prod9200537?color=36148,3.7 out of 5,2,Amazing!,"These pants are amazing. So flattering and can be dressed up or down. Most of my wardrobe is Lululemon, and these are my favorite pair of pants!",5 out of 5,MLKKK,"DETROIT, MI",RUNNER,35-44,ATHLETIC,,,,2018-12-31,2,0,{}
"Wunder Under High-Rise Tight Foil 28""",https://shop.lululemon.com/p/women-pants/Wunder-Under-Hi-Rise-Tight-Foil-28/_/prod9200537?color=36148,3.7 out of 5,2,Not Just for Yoga,I bought these pants to wear under tunic style tops. They have a shiny texture that dresses up an outfit slightly more than solid black leggings. They look amazing!,5 out of 5,MARAKAY,"MICHIGAN, USA",YOGI,35-44,ATHLETIC,,,,2018-12-29,3,0,{}
"Wunder Under High-Rise Tight Foil 28""",https://shop.lululemon.com/p/women-pants/Wunder-Under-Hi-Rise-Tight-Foil-28/_/prod9200537?color=36148,3.7 out of 5,2,Wrong Fit,I usually buy the align or movement tights. Because they stay put and I love them! Not these ones. I love how they look. But I kept having to re-adjust and pull the waistband up during class.,2 out of 5,BENGANDREW,"HENDERSON, NV",YOGI,35-44,SLIM,,,,2018-12-27,1,0,"{'LL_response_content': ""Dear bengandrew,\n\nWe're sorry to read of your recent experience and would love to discuss this further. Please be sure to give us a call at our Guest Education Centre on 1.877.263.9300 or you can always start a Live Chat with us on our website. We look forward to hearing from you."", 'LL_response_date': 'December 27, 2018'}"
"Wunder Under High-Rise Tight Foil 28""",https://shop.lululemon.com/p/women-pants/Wunder-Under-Hi-Rise-Tight-Foil-28/_/prod9200537?color=36148,3.7 out of 5,2,Feel like a Rockstar!,"I feel like a Rockstar when I wear these. They don't have has much stretch as most of my leggings, but they fit great!",5 out of 5,CLIMBGRL,"LOUISVILLE, KY, USA",SWEATY GENERALIST,35-44,PETITE,,,,2018-12-22,1,0,{}
"Wunder Under High-Rise Tight Foil 28""",https://shop.lululemon.com/p/women-pants/Wunder-Under-Hi-Rise-Tight-Foil-28/_/prod9200537?color=36148,3.7 out of 5,2,"Slimming, Sexy Black Foil","Same great fit and feel of the normal Luxtreme Wunder Under pants but w a sexy, shimmery foil finish. I love these so much. Wear my normal size 8. 5’9” athletic build. Get these. You won’t regret it.",5 out of 5,PINEAPPLEPRINCESS,"HONOLULU, HI, USA",SWEATY GENERALIST,35-44,ATHLETIC,,fit,,2018-12-22,0,0,"{'LL_response_content': ""Dear Patty03,\n\nWe're sorry to read of your recent experience and would love to discuss this further. Please be sure to give us a call at our Guest Education Centre on 1.877.263.9300 or you can always start a Live Chat with us on our website. We look forward to hearing from you."", 'LL_response_date': 'January 6, 2019'}"
"Wunder Under High-Rise Tight Foil 28""",https://shop.lululemon.com/p/women-pants/Wunder-Under-Hi-Rise-Tight-Foil-28/_/prod9200537?color=36148,3.7 out of 5,2,Super stylish!,"I bought these leggings in both colors and totally loving them. They’re really stylish, very trendy, yet they are very functional, which is a necessity because I work out hard. I read other reviews about them not washing well so I was a bit worried. I have been turning them inside out and washing them on delicate and they’ve held up well so far. I don’t even know if this is necessary, but I love them so much — trying to be overly careful, just in case! Would LOVE to see these leggings in a dark blue, hunter green or deep, dark red. Please make more of these leggings! Love them!!!!",5 out of 5,DALESPINNER2019,"SCARSDALE, NY",CYCLIST,35-44,PETITE,,,,2018-12-21,2,0,{}
