"Ride & Reflect Tight 28"" lululemon X SoulCycle",https://shop.lululemon.com/p/women-pants/Ride-Reflect-Tight-28/_/prod9200528?color=0001,2.4 out of 5,1,LOVE ‘EM,"Love the deep, rich grey color. Logo running up the leg is unusual, done with a reflective polka dot sheen that is evident, yet subtle at the same time. Great fit.",5 out of 5,BECKSPRIME,"HOUSTON, TX",YOGI,45-54,CURVY,,color,a liiltle too long,2019-02-07,0,0,{}
"Ride & Reflect Tight 28"" lululemon X SoulCycle",https://shop.lululemon.com/p/women-pants/Ride-Reflect-Tight-28/_/prod9200528?color=0001,2.4 out of 5,1,Had so much potential,As a regular at soulcycle this collab was a dream come true!! I bought these pants after seeing them advertised on both SoulCycle and Lululemon. You can't see the words unless someone takes a flash photo of you. They look like a cute pair of pants with tons of little holes in them. Really bummed,3 out of 5,KAITLYNK,,,,ATHLETIC,,,,2019-02-05,0,0,"{'LL_response_content': 'Dear kaitlynk,\n\nThank you for taking the time to review the Ride Reflect Tight 28"". We stand behind the quality of our product, and we want to ensure that you\'re in gear that is performing well for you. I hear that this is not the case and would like to work with you to create a resolution.\n\nPlease give us a call at our Guest Education Centre (1.877.263.9300) or jump on Live Chat to speak directly with an educator. We look forward to speaking with you soon!', 'LL_response_date': 'February 5, 2019'}"
"Ride & Reflect Tight 28"" lululemon X SoulCycle",https://shop.lululemon.com/p/women-pants/Ride-Reflect-Tight-28/_/prod9200528?color=0001,2.4 out of 5,1,Lululemon X Soul Cycle Pants,"I was so excited for this collection and I bought the ride and reflect pant in black and was disappointed that you couldn't see the lululemon or the soul cycle letters. My friend bought the plum color and you could see it slightly. I bought these pants so you can SEE the lettering glow in spin class.
Returned the pants, not worth the price tag.",1 out of 5,PATRYCJAW,"CALGARY, AB",SWEATY GENERALIST,25-34,ATHLETIC,,,lettering wasn't reflective,2019-02-04,2,0,{}
"Ride & Reflect Tight 28"" lululemon X SoulCycle",https://shop.lululemon.com/p/women-pants/Ride-Reflect-Tight-28/_/prod9200528?color=0001,2.4 out of 5,1,LOVE LOVE LOVE,These tights are so comfy and cool. The band at the waist sits right where it supposed to and the reflective dots come in handy when I run at night.,5 out of 5,NICKY23,,,,,,,,2019-01-30,1,0,{}
"Ride & Reflect Tight 28"" lululemon X SoulCycle",https://shop.lululemon.com/p/women-pants/Ride-Reflect-Tight-28/_/prod9200528?color=0001,2.4 out of 5,1,Look nothing like the picture.,The soul purpose of buying these leggings was for the large logo on both sides of the legging. When I received these leggings it looks like just a bunch of holes in the sides. Nothing unique about these leggings at all. Save your money on these. Back to the store they go.,1 out of 5,EMILYLOVESTHEGYM,"PHOENIX, AZ, USA",SWEATY GENERALIST,18-24,PETITE,,nothing,unable to read logo,2019-01-29,5,0,{}
"Ride & Reflect Tight 28"" lululemon X SoulCycle",https://shop.lululemon.com/p/women-pants/Ride-Reflect-Tight-28/_/prod9200528?color=0001,2.4 out of 5,1,Product description was not what I got,"I got these for the SoulCycle Lulu collaboration and the description says, Lululemon on one side and Soul Cycle on the other. I was disappointed that only Lululemon was on one side and the other side didn't read SoulCycle. I'm also 5""4 and these are way too long for me. They fit taller people for sure!
I'm just wondering how the description is not what I got. :(",2 out of 5,SOFIE13,"VANCOUVER, BC, CANADA",SWEATY GENERALIST,25-34,ATHLETIC,,fit in the waist,length,2019-01-28,3,0,"{'LL_response_content': ""Hey Sofie13,\n\nThanks for taking the time to share your feedback with us. I'm sorry to hear your Ride and Reflect Tight is not working out. We stand behind our gear and we'd love to get in touch. Keep an eye out for an email coming your way. Chat Soon!"", 'LL_response_date': 'January 29, 2019'}"
"Ride & Reflect Tight 28"" lululemon X SoulCycle",https://shop.lululemon.com/p/women-pants/Ride-Reflect-Tight-28/_/prod9200528?color=0001,2.4 out of 5,1,Frustrated that you can't read them,"The fit and color of the pants are great. I'm 5'10 and they're the perfect length. The whole reason I bought these pants and paid the extra money was for the Soul Cycle on the side and it's impossible to read. They just look like yoga pants with holes on the sides. They're good quality which is typical for lululemon, but if you want something that says Soul Cycle don't get these.",2 out of 5,SAMGRIFONE,"SAN FRANCISCO, CA",CYCLIST,18-24,LEAN,,quality,design,2019-01-28,1,0,{}
"Ride & Reflect Tight 28"" lululemon X SoulCycle",https://shop.lululemon.com/p/women-pants/Ride-Reflect-Tight-28/_/prod9200528?color=0001,2.4 out of 5,1,I know you're smarter than this,"This tight was made for someone at least 5'10"" or taller. Here's why - Lululemon must know that many of their customers shorten their tights (that's why alterations are so easy and free, right?). Well, if I got these altered, I'd lose the S and the O in Soulcycle and the O and the N in Lululemon - the letters go all the way down to the bottom of the tight, so any shortening makes you lose the letters! I guess if you're tall, try these?",1 out of 5,SMSS,CHICAGO,SWEATY GENERALIST,35-44,CURVY,,,,2019-01-28,7,0,{}
"Ride & Reflect Tight 28"" lululemon X SoulCycle",https://shop.lululemon.com/p/women-pants/Ride-Reflect-Tight-28/_/prod9200528?color=0001,2.4 out of 5,2,Can't see the letters like the pics,"They're super comfy. However, I can't see the letter that clear like the pictures. Eventhough it's reflective. I really like them but have to return, it'll be a lot nicer if they make the details stand out more. Cuz I got the pants for those details, if not, they honestly feel like the align pants. So I don't think they're worth the price.",2 out of 5,MYST,HOUSTON,SWEATY GENERALIST,25-34,ATHLETIC,,comfy,reflective details,2019-01-25,6,1,{}
